DateTime,Total,TotalCovid,TotalNonCovid,L3,L3Covid,L3NonCovid
2020-03-27T05:59:00Z,31,11,20,29,10,19
2020-03-27T06:59:00Z,31,11,20,29,10,19
2020-03-27T07:59:00Z,31,11,20,29,10,19
2020-03-27T08:59:00Z,31,11,20,29,10,19
2020-03-27T09:59:00Z,31,11,20,29,10,19
2020-03-27T10:59:00Z,31,11,20,29,10,19
2020-03-27T11:59:00Z,32,12,20,30,11,19
2020-03-27T12:59:00Z,32,12,20,30,11,19
2020-03-27T13:59:00Z,32,12,20,30,11,19
2020-03-27T14:59:00Z,32,12,20,30,11,19
2020-03-27T15:59:00Z,33,12,21,30,11,19
2020-03-27T16:59:00Z,33,12,21,30,11,19
2020-03-27T17:59:00Z,33,12,21,30,11,19
2020-03-27T18:59:00Z,33,12,21,30,11,19
2020-03-27T19:59:00Z,33,12,21,30,11,19
2020-03-27T20:59:00Z,33,12,21,30,11,19
2020-03-27T21:59:00Z,33,12,21,30,11,19
2020-03-27T22:59:00Z,33,12,21,30,11,19
2020-03-27T23:59:00Z,33,12,21,30,11,19
2020-03-28T00:59:00Z,32,11,21,29,10,19
2020-03-28T01:59:00Z,32,11,21,29,10,19
2020-03-28T02:59:00Z,32,11,21,29,10,19
2020-03-28T03:59:00Z,32,11,21,29,10,19
2020-03-28T04:59:00Z,31,10,21,29,10,19
2020-03-28T05:59:00Z,31,10,21,29,10,19
2020-03-28T06:59:00Z,31,10,21,29,10,19
2020-03-28T07:59:00Z,31,10,21,29,10,19
2020-03-28T08:59:00Z,31,10,21,29,10,19
2020-03-28T09:59:00Z,31,10,21,29,10,19
2020-03-28T10:59:00Z,31,10,21,29,10,19
2020-03-28T11:59:00Z,30,10,20,28,10,18
2020-03-28T12:59:00Z,30,10,20,28,10,18
2020-03-28T13:59:00Z,30,10,20,28,10,18
2020-03-28T14:59:00Z,30,10,20,28,10,18
2020-03-28T15:59:00Z,29,10,19,27,10,17
2020-03-28T16:59:00Z,29,10,19,27,10,17
2020-03-28T17:59:00Z,29,10,19,27,10,17
2020-03-28T18:59:00Z,30,12,18,29,12,17
2020-03-28T19:59:00Z,30,12,18,29,12,17
2020-03-28T20:59:00Z,30,12,18,29,12,17
2020-03-28T21:59:00Z,30,12,18,29,12,17
2020-03-28T22:59:00Z,30,12,18,29,12,17
2020-03-28T23:59:00Z,30,12,18,29,12,17
2020-03-29T00:59:00Z,29,12,17,27,12,15
2020-03-29T01:59:00Z,29,12,17,27,12,15
2020-03-29T02:59:00Z,29,12,17,27,12,15
2020-03-29T03:59:00Z,29,12,17,27,12,15
2020-03-29T04:59:00Z,29,12,17,27,12,15
2020-03-29T05:59:00Z,29,12,17,27,12,15
2020-03-29T06:59:00Z,29,12,17,27,12,15
2020-03-29T07:59:00Z,29,12,17,27,12,15
2020-03-29T08:59:00Z,29,12,17,27,12,15
2020-03-29T09:59:00Z,29,12,17,27,12,15
2020-03-29T10:59:00Z,29,12,17,27,12,15
2020-03-29T11:59:00Z,29,12,17,27,12,15
2020-03-29T12:59:00Z,30,12,18,28,12,16
2020-03-29T13:59:00Z,31,13,18,29,13,16
2020-03-29T14:59:00Z,31,13,18,29,13,16
2020-03-29T15:59:00Z,31,13,18,29,13,16
2020-03-29T16:59:00Z,30,13,17,29,13,16
2020-03-29T17:59:00Z,29,13,16,28,13,15
2020-03-29T18:59:00Z,30,14,16,29,14,15
2020-03-29T19:59:00Z,29,13,16,28,13,15
2020-03-29T20:59:00Z,29,13,16,28,13,15
2020-03-29T21:59:00Z,29,13,16,28,13,15
2020-03-29T22:59:00Z,29,13,16,28,13,15
2020-03-29T23:59:00Z,30,14,16,29,14,15
2020-03-30T00:59:00Z,30,14,16,29,14,15
2020-03-30T01:59:00Z,30,14,16,29,14,15
2020-03-30T02:59:00Z,30,14,16,29,14,15
2020-03-30T03:59:00Z,30,14,16,29,14,15
2020-03-30T04:59:00Z,30,14,16,29,14,15
2020-03-30T05:59:00Z,30,14,16,29,14,15
2020-03-30T06:59:00Z,30,14,16,29,14,15
2020-03-30T07:59:00Z,30,14,16,29,14,15
2020-03-30T08:59:00Z,30,14,16,29,14,15
2020-03-30T09:59:00Z,30,14,16,29,14,15
2020-03-30T10:59:00Z,30,14,16,29,14,15
2020-03-30T11:59:00Z,30,14,16,29,14,15
2020-03-30T12:59:00Z,30,14,16,29,14,15
2020-03-30T13:59:00Z,30,14,16,29,14,15
2020-03-30T14:59:00Z,30,14,16,29,14,15
2020-03-30T15:59:00Z,30,14,16,29,14,15
2020-03-30T16:59:00Z,30,14,16,29,14,15
2020-03-30T17:59:00Z,30,14,16,29,14,15
2020-03-30T18:59:00Z,30,14,16,29,14,15
2020-03-30T19:59:00Z,29,14,15,28,14,14
2020-03-30T20:59:00Z,29,14,15,28,14,14
2020-03-30T21:59:00Z,30,14,16,29,14,15
2020-03-30T22:59:00Z,30,14,16,29,14,15
2020-03-30T23:59:00Z,30,14,16,29,14,15
2020-03-31T00:59:00Z,30,14,16,28,14,14
2020-03-31T01:59:00Z,29,14,15,27,14,13
2020-03-31T02:59:00Z,29,14,15,27,14,13
2020-03-31T03:59:00Z,29,14,15,27,14,13
2020-03-31T04:59:00Z,29,14,15,27,14,13
2020-03-31T05:59:00Z,29,14,15,27,14,13
2020-03-31T06:59:00Z,29,14,15,27,14,13
2020-03-31T07:59:00Z,29,14,15,27,14,13
2020-03-31T08:59:00Z,30,15,15,28,15,13
2020-03-31T09:59:00Z,30,15,15,28,15,13
2020-03-31T10:59:00Z,30,15,15,28,15,13
2020-03-31T11:59:00Z,30,15,15,28,15,13
2020-03-31T12:59:00Z,30,15,15,28,15,13
2020-03-31T13:59:00Z,31,15,16,29,15,14
2020-03-31T14:59:00Z,31,15,16,29,15,14
2020-03-31T15:59:00Z,31,15,16,29,15,14
2020-03-31T16:59:00Z,31,15,16,29,15,14
2020-03-31T17:59:00Z,33,16,17,31,16,15
2020-03-31T18:59:00Z,33,16,17,31,16,15
2020-03-31T19:59:00Z,32,17,15,31,17,14
2020-03-31T20:59:00Z,32,17,15,31,17,14
2020-03-31T21:59:00Z,32,17,15,31,17,14
2020-03-31T22:59:00Z,32,17,15,31,17,14
2020-03-31T23:59:00Z,33,17,16,32,17,15
2020-04-01T00:59:00Z,33,17,16,32,17,15
2020-04-01T01:59:00Z,33,17,16,32,17,15
2020-04-01T02:59:00Z,33,17,16,32,17,15
2020-04-01T03:59:00Z,34,18,16,33,18,15
2020-04-01T04:59:00Z,34,18,16,33,18,15
2020-04-01T05:59:00Z,34,18,16,33,18,15
2020-04-01T06:59:00Z,34,18,16,33,18,15
2020-04-01T07:59:00Z,34,18,16,33,18,15
2020-04-01T08:59:00Z,35,19,16,34,19,15
2020-04-01T09:59:00Z,35,19,16,34,19,15
2020-04-01T10:59:00Z,35,19,16,34,19,15
2020-04-01T11:59:00Z,36,20,16,35,20,15
2020-04-01T12:59:00Z,36,20,16,35,20,15
2020-04-01T13:59:00Z,35,19,16,34,19,15
2020-04-01T14:59:00Z,36,20,16,35,20,15
2020-04-01T15:59:00Z,38,22,16,37,22,15
2020-04-01T16:59:00Z,37,21,16,36,21,15
2020-04-01T17:59:00Z,38,22,16,37,22,15
2020-04-01T18:59:00Z,37,21,16,36,21,15
2020-04-01T19:59:00Z,38,22,16,37,22,15
2020-04-01T20:59:00Z,39,23,16,38,23,15
2020-04-01T21:59:00Z,39,23,16,38,23,15
2020-04-01T22:59:00Z,41,25,16,40,25,15
2020-04-01T23:59:00Z,40,24,16,39,24,15
2020-04-02T00:59:00Z,40,24,16,37,24,13
2020-04-02T01:59:00Z,40,24,16,37,24,13
2020-04-02T02:59:00Z,40,24,16,37,24,13
2020-04-02T03:59:00Z,40,24,16,37,24,13
2020-04-02T04:59:00Z,40,24,16,37,24,13
2020-04-02T05:59:00Z,40,24,16,37,24,13
2020-04-02T06:59:00Z,40,24,16,37,24,13
2020-04-02T07:59:00Z,40,24,16,37,24,13
2020-04-02T08:59:00Z,39,24,15,36,24,12
2020-04-02T09:59:00Z,39,24,15,36,24,12
2020-04-02T10:59:00Z,38,23,15,35,23,12
2020-04-02T11:59:00Z,38,23,15,35,23,12
2020-04-02T12:59:00Z,38,23,15,35,23,12
2020-04-02T13:59:00Z,38,23,15,35,23,12
2020-04-02T14:59:00Z,38,23,15,36,23,13
2020-04-02T15:59:00Z,38,23,15,36,23,13
2020-04-02T16:59:00Z,38,23,15,36,23,13
2020-04-02T17:59:00Z,38,23,15,36,23,13
2020-04-02T18:59:00Z,38,23,15,36,23,13
2020-04-02T19:59:00Z,38,23,15,36,23,13
2020-04-02T20:59:00Z,38,23,15,36,23,13
2020-04-02T21:59:00Z,38,23,15,36,23,13
2020-04-02T22:59:00Z,38,23,15,36,23,13
2020-04-02T23:59:00Z,38,23,15,36,23,13
2020-04-03T00:59:00Z,38,23,15,36,23,13
2020-04-03T01:59:00Z,38,23,15,36,23,13
2020-04-03T02:59:00Z,38,23,15,36,23,13
2020-04-03T03:59:00Z,38,23,15,36,23,13
2020-04-03T04:59:00Z,39,24,15,37,24,13
2020-04-03T05:59:00Z,39,24,15,37,24,13
2020-04-03T06:59:00Z,39,24,15,37,24,13
2020-04-03T07:59:00Z,40,25,15,38,25,13
2020-04-03T08:59:00Z,40,25,15,38,25,13
2020-04-03T09:59:00Z,40,25,15,38,25,13
2020-04-03T10:59:00Z,40,25,15,38,25,13
2020-04-03T11:59:00Z,40,25,15,38,25,13
2020-04-03T12:59:00Z,40,25,15,38,25,13
2020-04-03T13:59:00Z,41,26,15,39,26,13
2020-04-03T14:59:00Z,41,26,15,39,26,13
2020-04-03T15:59:00Z,42,27,15,40,27,13
2020-04-03T16:59:00Z,42,27,15,40,27,13
2020-04-03T17:59:00Z,41,27,14,39,27,12
2020-04-03T18:59:00Z,41,27,14,39,27,12
2020-04-03T19:59:00Z,40,27,13,38,27,11
2020-04-03T20:59:00Z,40,27,13,38,27,11
2020-04-03T21:59:00Z,39,27,12,38,27,11
2020-04-03T22:59:00Z,39,27,12,38,27,11
2020-04-03T23:59:00Z,39,27,12,38,27,11
2020-04-04T00:59:00Z,40,28,12,38,27,11
2020-04-04T01:59:00Z,41,29,12,39,28,11
2020-04-04T02:59:00Z,41,29,12,39,28,11
2020-04-04T03:59:00Z,42,29,13,39,28,11
2020-04-04T04:59:00Z,42,29,13,39,28,11
2020-04-04T05:59:00Z,42,29,13,39,28,11
2020-04-04T06:59:00Z,42,29,13,39,28,11
2020-04-04T07:59:00Z,43,30,13,40,29,11
2020-04-04T08:59:00Z,43,30,13,40,29,11
2020-04-04T09:59:00Z,43,30,13,40,29,11
2020-04-04T10:59:00Z,43,30,13,40,29,11
2020-04-04T11:59:00Z,44,30,14,41,29,12
2020-04-04T12:59:00Z,44,30,14,41,29,12
2020-04-04T13:59:00Z,43,30,13,40,29,11
2020-04-04T14:59:00Z,43,30,13,40,29,11
2020-04-04T15:59:00Z,43,30,13,40,29,11
2020-04-04T16:59:00Z,43,30,13,40,29,11
2020-04-04T17:59:00Z,42,30,12,39,29,10
2020-04-04T18:59:00Z,41,30,11,39,29,10
2020-04-04T19:59:00Z,40,30,10,39,29,10
2020-04-04T20:59:00Z,40,30,10,39,29,10
2020-04-04T21:59:00Z,40,30,10,39,29,10
2020-04-04T22:59:00Z,40,30,10,39,29,10
2020-04-04T23:59:00Z,41,31,10,40,30,10
2020-04-05T00:59:00Z,42,32,10,41,31,10
2020-04-05T01:59:00Z,42,32,10,41,31,10
2020-04-05T02:59:00Z,43,32,11,41,31,10
2020-04-05T03:59:00Z,43,32,11,41,31,10
2020-04-05T04:59:00Z,43,32,11,41,31,10
2020-04-05T05:59:00Z,43,32,11,41,31,10
2020-04-05T06:59:00Z,43,32,11,41,31,10
2020-04-05T07:59:00Z,43,32,11,41,31,10
2020-04-05T08:59:00Z,43,32,11,41,31,10
2020-04-05T09:59:00Z,44,33,11,42,32,10
2020-04-05T10:59:00Z,44,33,11,42,32,10
2020-04-05T11:59:00Z,44,33,11,42,32,10
2020-04-05T12:59:00Z,44,33,11,42,32,10
2020-04-05T13:59:00Z,44,33,11,42,32,10
2020-04-05T14:59:00Z,44,33,11,42,32,10
2020-04-05T15:59:00Z,44,33,11,42,32,10
2020-04-05T16:59:00Z,44,33,11,42,32,10
2020-04-05T17:59:00Z,44,33,11,42,32,10
2020-04-05T18:59:00Z,44,33,11,42,32,10
2020-04-05T19:59:00Z,43,33,10,42,32,10
2020-04-05T20:59:00Z,43,33,10,42,32,10
2020-04-05T21:59:00Z,43,33,10,42,32,10
2020-04-05T22:59:00Z,43,33,10,42,32,10
2020-04-05T23:59:00Z,43,33,10,42,32,10
2020-04-06T00:59:00Z,43,33,10,41,32,9
2020-04-06T01:59:00Z,43,33,10,41,32,9
2020-04-06T02:59:00Z,41,31,10,40,31,9
2020-04-06T03:59:00Z,44,33,11,43,33,10
2020-04-06T04:59:00Z,44,33,11,43,33,10
2020-04-06T05:59:00Z,44,33,11,43,33,10
2020-04-06T06:59:00Z,44,33,11,43,33,10
2020-04-06T07:59:00Z,44,33,11,43,33,10
2020-04-06T08:59:00Z,44,33,11,43,33,10
2020-04-06T09:59:00Z,44,33,11,43,33,10
2020-04-06T10:59:00Z,44,33,11,43,33,10
2020-04-06T11:59:00Z,44,33,11,43,33,10
2020-04-06T12:59:00Z,44,33,11,43,33,10
2020-04-06T13:59:00Z,45,34,11,44,34,10
2020-04-06T14:59:00Z,45,34,11,44,34,10
2020-04-06T15:59:00Z,45,34,11,44,34,10
2020-04-06T16:59:00Z,45,34,11,44,34,10
2020-04-06T17:59:00Z,45,34,11,44,34,10
2020-04-06T18:59:00Z,45,34,11,44,34,10
2020-04-06T19:59:00Z,45,35,10,45,35,10
2020-04-06T20:59:00Z,45,35,10,45,35,10
2020-04-06T21:59:00Z,45,35,10,45,35,10
2020-04-06T22:59:00Z,45,35,10,45,35,10
2020-04-06T23:59:00Z,46,36,10,46,36,10
2020-04-07T00:59:00Z,46,36,10,45,35,10
2020-04-07T01:59:00Z,46,36,10,45,35,10
2020-04-07T02:59:00Z,46,36,10,45,35,10
2020-04-07T03:59:00Z,47,36,11,46,35,11
2020-04-07T04:59:00Z,47,36,11,46,35,11
2020-04-07T05:59:00Z,47,36,11,46,35,11
2020-04-07T06:59:00Z,47,36,11,46,35,11
2020-04-07T07:59:00Z,47,36,11,46,35,11
2020-04-07T08:59:00Z,47,36,11,46,35,11
